EJERCICIO;ENTIDAD;NOMBRE_ENTIDAD;NO_CUR;NO_ORIGINAL;CLASE_REGISTRO;CLASE_MODIFICACION;CLASE_GASTO;NIT;DESCRIPCION;ESTADO;SOLICITUD_PAGO;PAGADO_TOTAL;MONTO_GASTO;MONTO_SALDO;FEC_IMPUTACION;FEC_SOLICITADO;FEC_APROBADO;FEC_SOLICITUD_PAGO;FEC_PAGADO_TOTAL;NOMBRE_BENEFICIARIO;ENTIDAD_RECEPTORA;PROGRAMA;SUBPROGRAMA;PROYECTO;ACTIVIDAD;OBRA;RENGLON;GEOGRAFICO;FUENTE;ORGANISMO;MONTO_RENGLON;MONTO_PRESUPUESTARIO;MONTO_IVA;USUARIO_SOLICITUD_PAGO;USUARIO_APROBO;USUARIO_REGISTRO;USUARIO_SOLICITO;USUARIO_MODIFICO
2023;148-0001-0000;COORDINACION ZONAL 1 - DEPORTE;81;81;CYD;NOR;TRF;491503289001;CUR Automático de Transferencias No. 143777 ORGANISMOS DEPORTIVOS JUNIO 2023 CZ1 GRUPO 1 CARGA 1 MEMO NO MD-SSAF-2023-0320-MEM FECHA 11 DE JULIO 2023 ORIGINALES REPOSAN EN EL EXPEDIENTE DE LIGA DEPORTIVA CANTONAL DE CASCALES RUC 2190002325001.;APROBADO;S;S;8908,85;0;12/7/2023;12/7/2023;12/7/2023;12/7/2023;13/7/2023;LIGA DEPORTIVA CANTONAL DE SUCUMBIOS;0;55;0;0;2;0;580204;801;1;0;8908,85;8908,85;0;PTEJADA23;DMEJIA12;DMEJIA12;DMEJIA12;
2023;148-0001-0000;COORDINACION ZONAL 1 - DEPORTE;82;82;CYD;NOR;TRF;890047971001;CUR Automático de Transferencias No. 143777 ORGANISMOS DEPORTIVOS JUNIO 2023 CZ1 GRUPO 1 CARGA 1 MEMO NO MD-SSAF-2023-0320-MEM FECHA 11 DE JULIO 2023 ORIGINALES REPOSAN EN EL EXPEDIENTE DE LIGA DEPORTIVA CANTONAL DE CASCALES RUC 2190002325001.;APROBADO;S;S;3379,97;0;12/7/2023;12/7/2023;12/7/2023;12/7/2023;13/7/2023;LIGA DEPORTIVA CANTONAL DE RIO VERDE;0;55;0;0;2;0;580204;801;1;0;3379,97;3379,97;0;PTEJADA23;DMEJIA12;DMEJIA12;DMEJIA12;
2023;148-0001-0000;COORDINACION ZONAL 1 - DEPORTE;83;83;CYD;NOR;TRF;891708386001;CUR Automático de Transferencias No. 143777 ORGANISMOS DEPORTIVOS JUNIO 2023 CZ1 GRUPO 1 CARGA 1 MEMO NO MD-SSAF-2023-0320-MEM FECHA 11 DE JULIO 2023 ORIGINALES REPOSAN EN EL EXPEDIENTE DE LIGA DEPORTIVA CANTONAL DE CASCALES RUC 2190002325001.;APROBADO;S;S;3043,22;0;12/7/2023;12/7/2023;12/7/2023;12/7/2023;13/7/2023;LIGA DEPORTIVA CANTONAL DE MUISNE;0;55;0;0;2;0;580204;801;1;0;3043,22;3043,22;0;PTEJADA23;DMEJIA12;DMEJIA12;DMEJIA12;
2023;148-0001-0000;COORDINACION ZONAL 1 - DEPORTE;84;84;CYD;NOR;TRF;891715382001;CUR Automático de Transferencias No. 143777 ORGANISMOS DEPORTIVOS JUNIO 2023 CZ1 GRUPO 1 CARGA 1 MEMO NO MD-SSAF-2023-0320-MEM FECHA 11 DE JULIO 2023 ORIGINALES REPOSAN EN EL EXPEDIENTE DE LIGA DEPORTIVA CANTONAL DE CASCALES RUC 2190002325001.;APROBADO;S;S;4618,28;0;12/7/2023;12/7/2023;12/7/2023;12/7/2023;4/8/2023;LIGA DEPORTIVA CANTONAL DE ELOY ALFARO;0;55;0;0;2;0;580204;801;1;0;4618,28;4618,28;0;PTEJADA23;DMEJIA12;DMEJIA12;DMEJIA12;
2023;148-0001-0000;COORDINACION ZONAL 1 - DEPORTE;85;85;CYD;NOR;TRF;1091706055001;CUR Automático de Transferencias No. 143777 ORGANISMOS DEPORTIVOS JUNIO 2023 CZ1 GRUPO 1 CARGA 1 MEMO NO MD-SSAF-2023-0320-MEM FECHA 11 DE JULIO 2023 ORIGINALES REPOSAN EN EL EXPEDIENTE DE LIGA DEPORTIVA CANTONAL DE CASCALES RUC 2190002325001.;APROBADO;S;S;17910,66;0;12/7/2023;12/7/2023;12/7/2023;12/7/2023;14/7/2023;LIGA DEPORTIVA CANTONAL DE ANTONIO ANTE;0;55;0;0;2;0;580204;801;1;0;17910,66;17910,66;0;PTEJADA23;DMEJIA12;DMEJIA12;DMEJIA12;
2023;148-0001-0000;COORDINACION ZONAL 1 - DEPORTE;86;86;CYD;NOR;TRF;1091708554001;CUR Automático de Transferencias No. 143777 ORGANISMOS DEPORTIVOS JUNIO 2023 CZ1 GRUPO 1 CARGA 1 MEMO NO MD-SSAF-2023-0320-MEM FECHA 11 DE JULIO 2023 ORIGINALES REPOSAN EN EL EXPEDIENTE DE LIGA DEPORTIVA CANTONAL DE CASCALES RUC 2190002325001.;APROBADO;S;S;43395,41;0;12/7/2023;12/7/2023;12/7/2023;12/7/2023;14/7/2023;LIGA DEPORTIVA CANTONAL DE OTAVALO;0;55;0;0;2;0;580204;801;1;0;43395,41;43395,41;0;PTEJADA23;DMEJIA12;DMEJIA12;DMEJIA12;
2023;148-0001-0000;COORDINACION ZONAL 1 - DEPORTE;87;87;CYD;NOR;TRF;2190002325001;CUR Automático de Transferencias No. 143777 ORGANISMOS DEPORTIVOS JUNIO 2023 CZ1 GRUPO 1 CARGA 1 MEMO NO MD-SSAF-2023-0320-MEM FECHA 11 DE JULIO 2023 ORIGINALES REPOSAN EN EL EXPEDIENTE DE LIGA DEPORTIVA CANTONAL DE CASCALES RUC 2190002325001.;APROBADO;S;S;12742,89;0;12/7/2023;12/7/2023;12/7/2023;12/7/2023;14/7/2023;LIGA DEPORTIVA CANTONAL DE CASCALES;0;55;0;0;2;0;580204;801;1;0;12742,89;12742,89;0;PTEJADA23;DMEJIA12;DMEJIA12;DMEJIA12;
2023;148-0001-0000;COORDINACION ZONAL 1 - DEPORTE;88;88;CYD;NOR;TRF;2191700301001;CUR Automático de Transferencias No. 143777 ORGANISMOS DEPORTIVOS JUNIO 2023 CZ1 GRUPO 1 CARGA 1 MEMO NO MD-SSAF-2023-0320-MEM FECHA 11 DE JULIO 2023 ORIGINALES REPOSAN EN EL EXPEDIENTE DE LIGA DEPORTIVA CANTONAL DE CASCALES RUC 2190002325001.;APROBADO;S;S;12716,22;0;12/7/2023;12/7/2023;12/7/2023;12/7/2023;14/7/2023;LIGA DEPORTIVA CANTONAL CUYABENO;0;55;0;0;2;0;580204;801;1;0;12716,22;12716,22;0;PTEJADA23;DMEJIA12;DMEJIA12;DMEJIA12;
2023;148-0001-0000;COORDINACION ZONAL 1 - DEPORTE;89;89;CYD;NOR;TRF;2191701472001;CUR Automático de Transferencias No. 143777 ORGANISMOS DEPORTIVOS JUNIO 2023 CZ1 GRUPO 1 CARGA 1 MEMO NO MD-SSAF-2023-0320-MEM FECHA 11 DE JULIO 2023 ORIGINALES REPOSAN EN EL EXPEDIENTE DE LIGA DEPORTIVA CANTONAL DE CASCALES RUC 2190002325001.;APROBADO;S;S;14169,53;0;12/7/2023;12/7/2023;12/7/2023;12/7/2023;14/7/2023;LIGA DEPORTIVA CANTONAL DE GONZALO PIZARRO;0;55;0;0;2;0;580204;801;1;0;14169,53;14169,53;0;PTEJADA23;DMEJIA12;DMEJIA12;DMEJIA12;
2023;148-0001-0000;COORDINACION ZONAL 1 - DEPORTE;92;92;CYD;NOR;TRF;491505273001;LIGA DEPORTIVA CANTONAL SAN PEDRO DE HUACA.- TRANSFERENCIA DE RECURSOS POA 2023 A LOS ORGANISMOS DEPORTIVOS DE LA COORDINACIÓN ZONAL 1 DEPORTE MESES DE JUNIO Y JULIO SOLICITADO MEDIANTE MEMORANDO MD-SSAF-2023-0370-MEM DEL 27 DE JULIO DE 2023;APROBADO;S;S;4571,12;0;27/7/2023;27/7/2023;27/7/2023;27/7/2023;28/7/2023;LIGA DEPORTIVA CANTONAL SAN PEDRO DE HUACA;0;55;0;0;2;0;580204;801;1;0;4571,12;4571,12;0;TJARAMILLO14;MBASANTES12;XAULESTIA23;XAULESTIA23;
2023;148-0001-0000;COORDINACION ZONAL 1 - DEPORTE;93;93;CYD;NOR;TRF;491500107001;CUR Automático de Transferencias No. 144400 ORGANISMOS DEPORTIVOS JULIO 2023 CZ1 GRUPO 1 CARGA 1 MEMO NO MD-SSAF-2023-0350-MEM FECHA 22 DE JULIO 2023 ORIGINALES REPOSAN EN EL EXPEDIENTE DE LIGA DEPORTIVA CANTONAL DE CASCALES RUC 2190002325001.;APROBADO;S;S;4761,55;0;28/7/2023;28/7/2023;28/7/2023;31/7/2023;1/8/2023;LIGA DEPORTIVA CANTONAL DE ESPEJO;0;55;0;0;2;0;580204;801;1;0;4761,55;4761,55;0;TJARAMILLO14;DMEJIA12;DMEJIA12;DMEJIA12;
2023;148-0001-0000;COORDINACION ZONAL 1 - DEPORTE;94;94;CYD;NOR;TRF;491500727001;CUR Automático de Transferencias No. 144400 ORGANISMOS DEPORTIVOS JULIO 2023 CZ1 GRUPO 1 CARGA 1 MEMO NO MD-SSAF-2023-0350-MEM FECHA 22 DE JULIO 2023 ORIGINALES REPOSAN EN EL EXPEDIENTE DE LIGA DEPORTIVA CANTONAL DE CASCALES RUC 2190002325001.;APROBADO;S;S;6583,41;0;28/7/2023;28/7/2023;28/7/2023;31/7/2023;1/8/2023;LIGA DEPORTIVA CANTONAL DE BOLIVAR;0;55;0;0;2;0;580204;801;1;0;6583,41;6583,41;0;TJARAMILLO14;DMEJIA12;DMEJIA12;DMEJIA12;
